"","cities","countries","aqi_table.X2024"
"626","Vellore","India",28.3
"627","Doi Saket","Thailand",28.3
"628","Nanjing","China",28.2
"629","Haidongdiqu","China",28.2
"630","Shanghai","China",28.2
"631","Davanagere","India",28.2
"632","Muzza di Cornegliano Laudense","Italy",28.2
"633","Vranje","Serbia",28.1
"634","Quoc Oai","Vietnam",28.1
"635","Guankou","China",28
"636","Leiyang","China",28
"637","Bazhong","China",28
"638","Pa Sak","Thailand",28
"639","Pak Khwae","Thailand",28
"640","Xingbin Qu","China",27.9
"641","Minggang","China",27.9
"642","Yichun","China",27.9
"643","Chaoyang","China",27.9
"644","Cagliari","Italy",27.9
"645","Cacak","Serbia",27.9
"646","Nam Phong","Thailand",27.9
"647","Shaoxing","China",27.8
"648","Anantapur","India",27.8
"649","Sravana Belgola","India",27.8
"650","Kalyan","India",27.8
"651","Babu","China",27.7
"652","Honnali","India",27.7
"653","Derbendixan","Iraq",27.7
"654","Tha Sala","Thailand",27.7
"655","Baise","China",27.6
"656","Binhe","China",27.6
"657","Ili","China",27.6
"658","Nan","Thailand",27.6
"659","Uttaradit","Thailand",27.6
"660","Duzce","Turkey",27.6
"661","Masaka","Uganda",27.6
"662","Sokolac","Bosnia Herzegovina",27.5
"663","Xuancheng","China",27.5
"664","Xinyu","China",27.5
"665","Thiruvananthapuram","India",27.5
"666","Vientiane","Laos",27.5
"667","San Juan de Lurigancho","Peru",27.5
"668","Salaya","Thailand",27.5
"669","Om Noi","Thailand",27.5
"670","Jiamusi","China",27.4
"671","Fuxin","China",27.4
"672","Madhyapur Thimi","Nepal",27.4
"673","Sawankhalok","Thailand",27.4
"674","Sena Madureira","Brazil",27.3
"675","Shangluo","China",27.3
"676","Guigang","China",27.2
"677","Chenzhou","China",27.2
"678","Yulin","China",27.2
"679","Suining","China",27.2
"680","Quzhou","China",27.2
"681","Haiphong","Vietnam",27.2
"682","Liaoyuan","China",27.1
"683","Qitaihe","China",27
"684","Lincang","China",27
"685","Jiaxing","China",27
"686","Cape Coast","Ghana",27
"687","Serang","Indonesia",27
"688","Putrajaya","Malaysia",27
"689","Ubon Ratchathani","Thailand",27
"690","Nai Mueang","Thailand",27
"691","Soc Son","Vietnam",27
"692","Guilin","China",26.9
"693","Haveri","India",26.9
"694","Ooty","India",26.9
"695","Nilai","Malaysia",26.9
"696","Wuxi","China",26.8
"697","Hassan","India",26.8
"698","Benghazi","Libya",26.8
"699","Sing Buri","Thailand",26.8
"700","Victoria","Chile",26.7
"701","Ulanqab","China",26.7
"702","eMbalenhle","South Africa",26.7
"703","Nong Bua Lamphu","Thailand",26.7
"704","Dalian","China",26.6
"705","Dehong","China",26.6
"706","Lebedinovka","Kyrgyzstan",26.6
"707","Fa Ham","Thailand",26.6
"708","Na Mueang","Thailand",26.6
"709","Guangshui","China",26.5
"710","Huaihua","China",26.5
"711","Yanan","China",26.5
"712","Mangalore","India",26.5
"713","Nong Khai","Thailand",26.5
"714","Mae Pa","Thailand",26.5
"715","Ashgabat","Turkmenistan",26.5
"716","Osorno","Chile",26.4
"717","Jinhua","China",26.4
"718","Hubballi","India",26.4
"719","Homa Bay","Kenya",26.4
"720","Chiang Mai","Thailand",26.4
"721","Phrae","Thailand",26.4
"722","Yasothon","Thailand",26.4
"723","Qingdao","China",26.3
"724","Raipur","India",26.3
"725","Sleman","Indonesia",26.3
"726","Uzice","Serbia",26.3
"727","Puente Piedra","Peru",26.2
"728","Orkney","South Africa",26.2
"729","Tha Hin","Thailand",26.2
"730","Jixi","China",26.1
"731","Dingcheng","China",26.1
"732","Ankang","China",26.1
"733","Datong","China",26.1
"734","Taisen-ri","South Korea",26.1
"735","Hang Dong","Thailand",26.1
"736","Shuangyashan","China",26
"737","Macheng","China",26
"738","Trichur","India",26
"739","Chennai","India",26
"740","Qalqilyah","Palestine",26
"741","Akurana","Sri Lanka",26
"742","Mae Kon","Thailand",26
"743","Loei","Thailand",26
"744","Sukhothai","Thailand",26
"745","Lome","Togo",26
"746","Wiang Chai","Thailand",25.9
"747","Bo Haeo","Thailand",25.9
"748","Bien Hoa","Vietnam",25.9
"749","Liuzhou","China",25.8
"750","Dandong","China",25.8
"751","Soresina","Italy",25.8
"752","Gostivar","North Macedonia",25.8
"753","Phichit","Thailand",25.8
"754","Beidaihehaibin","China",25.7
"755","Itagui","Colombia",25.7
"756","Amaravati","India",25.7
"757","Ramanagara","India",25.7
"758","Semmandalam","India",25.7
"759","Ulaanbaatar","Mongolia",25.7
"760","Mae Mo","Thailand",25.7
"761","Bozuyuk","Turkey",25.7
"762","Karwar","India",25.6
"763","Yantai","China",25.5
"764","Mae Hia","Thailand",25.5
"765","Pumiao","China",25.4
"766","Yulin","China",25.4
"767","Comas","Peru",25.4
"768","Mukdahan","Thailand",25.4
"769","Hongjiang","China",25.3
"770","Vrindavan","India",25.3
"771","Veliki Crljeni","Serbia",25.3
"772","Phetchabun","Thailand",25.3
"773","Song Khanong","Thailand",25.3
"774","Hezhou","China",25.2
"775","Lincang","China",25.2
"776","Malang","Indonesia",25.2
"777","Muang Phonsavan","Laos",25.2
"778","Yangon","Myanmar",25.2
"779","Mae Rim","Thailand",25.2
"780","Nantong","China",25.1
"781","Guyuan","China",25.1
"782","Bueng Kham Phroi","Thailand",25.1
"783","Wat Chan","Thailand",25.1
"784","Ndola","Zambia",25.1
"785","Padre las Casas","Chile",25
"786","Nanning","China",25
"787","Jian","China",25
"788","Arimalam","India",25
"789","Tha Phon","Thailand",25
"790","Tha Tum","Thailand",25
"791","Jablanica","Bosnia Herzegovina",24.9
"792","Jieyang","China",24.9
"793","Huangnan","China",24.9
"794","Tarkwa","Ghana",24.9
"795","Mladenovac","Serbia",24.9
"796","Ban Pong","Thailand",24.9
"797","Suthep","Thailand",24.9
"798","Mae On","Thailand",24.8
"799","Ban Dong","Thailand",24.8
"800","Harare","Zimbabwe",24.8
"801","Jiaonan","China",24.7
"802","Honghe","China",24.7
"803","San Borja","Peru",24.7
"804","Sebokeng","South Africa",24.7
"805","Pang Mu","Thailand",24.7
"806","Bihac","Bosnia Herzegovina",24.6
"807","Hinggan Meng","China",24.6
"808","Virudhunagar","India",24.6
"809","Seyid Sadiq","Iraq",24.6
"810","Abidjan","Ivory Coast",24.6
"811","Carabayllo","Peru",24.6
"812","Bluff","South Africa",24.6
"813","Chang Phueak","Thailand",24.6
"814","Samut Sakhon","Thailand",24.6
"815","Alor Setar","Malaysia",24.5
"816","Yerevan","Armenia",24.4
"817","Qinnan Qu","China",24.4
"818","Xishuangbanna","China",24.4
"819","Xiangxi","China",24.3
"820","Maihar","India",24.3
"821","Ajalpan","Mexico",24.3
"822","Santana de Mures","Romania",24.3
"823","Lat Bua Luang","Thailand",24.3
"824","Panzhihua","China",24.2
"825","Karur","India",24.2
"826","Shah Alam","Malaysia",24.2
"827","Saraphi","Thailand",24.2
"828","Nakhon Sawan","Thailand",24.2
"829","Byakabanda","Uganda",24.2
"830","Chongzuo","China",24.1
"831","Songling","China",24.1
"832","Alxa League","China",24.1
"833","Wenshan","China",24.1
"834","Wat Ket","Thailand",24.1
"835","Samut Songkhram","Thailand",24.1
"836","Sehitkamil","Turkey",24.1
"837","Perai","Malaysia",24
"838","Johannesburg","South Africa",24
"839","Fenghuang","China",23.9
"840","Guangyuan","China",23.9
"841","Surcin","Serbia",23.9
